Timestamp,What Music Were you listening to?,What were you doing?,Where were you listening to music,How Long did you listen? (minutes),What Service(s) did you use?
1/12/2019 14:05:24,"Electronic, Rock",Cleaning,Living Room,10-20,Spotify
1/12/2019 16:19:56,Hip Hop/Rap,Homework,Living Room,30-45,"Spotify, Youtube"
1/13/2019 17:48:04,"Rock, Country",Driving,Car,45-60,"Spotify, Radio"
1/13/2019 19:50:29,Hip Hop/Rap,Driving,Car,10-20,Spotify
1/14/2019 22:45:25,Rock,Driving,Car,0-10,Radio
1/15/2019 10:04:58,Country,Homework,Living Room,30-45,"Spotify, Youtube"
1/15/2019 12:43:32,Hip Hop/Rap,Walking,Outside Walking,10-20,Spotify
1/16/2019 18:26:03,"Hip Hop/Rap, Country",Lifting,Gym,30-45,Spotify
1/16/2019 20:26:24,Rock,Driving,Car,10-20,Radio
1/16/2019 18:28:11,"Hip Hop/Rap, Country",Lifting,Gym,30-45,Spotify
1/20/2019 20:05:17,"Electronic, Rock, Hip Hop/Rap",Driving,Car,60+,Spotify
1/22/2019 13:31:03,"Rock, Hip Hop/Rap",Driving,Car,60+,Spotify
1/24/2019 18:37:32,Hip Hop/Rap,Homework,Living Room,20-30,Spotify
