timestamp,year,month,day,hour,minute,second,music_genre,task,location,duration,services
1/12/2019 14:05:24,2019,1,12,14,05,24,Electronic,Cleaning,Living Room,10,Spotify
1/12/2019 14:05:24,2019,1,12,14,05,24,Rock,Cleaning,Living Room,10,Spotify
1/12/2019 16:19:56,2019,1,12,16,19,56,Hip Hop/Rap,Homework,Living Room,30,Spotify
1/13/2019 17:48:04,2019,1,13,17,48,04,Rock,Driving,Car,40,Spotify
1/13/2019 17:48:04,2019,1,13,17,48,04,Country,Driving,Car,20,Radio
1/13/2019 19:50:29,2019,1,13,19,50,29,Hip Hop/Rap,Driving,Car,10,Spotify
1/14/2019 22:45:25,2019,1,14,22,45,25,Rock,Driving,Car,5,Radio
1/15/2019 10:04:58,2019,1,15,10,04,58,Country,Homework,Living Room,40,Spotify
1/15/2019 12:43:32,2019,1,15,12,43,32,Hip Hop/Rap,Walking,Outside Walking,15,Spotify
1/16/2019 18:26:03,2019,1,16,18,26,03,Hip Hop/Rap,Lifting,Gym,30,Spotify
1/16/2019 20:26:24,2019,1,16,20,26,24,Rock,Driving,Car,20,Radio
1/16/2019 18:28:11,2019,1,16,18,28,11,Hip Hop/Rap,Lifting,Gym,20,Spotify
1/16/2019 18:28:11,2019,1,16,18,28,11,Country,Lifting,Gym,10,Spotify
1/20/2019 20:05:17,2019,1,20,20,05,17,Electronic,Driving,Car,30,Spotify
1/20/2019 20:05:17,2019,1,20,20,05,17,Rock,Driving,Car,15,Spotify
1/20/2019 20:05:17,2019,1,20,20,05,17,Hip Hop/Rap,Driving,Car,20,Spotify
1/20/2019 20:05:17,2019,1,20,20,05,17,Electronic,Driving,Car,10,Spotify
1/20/2019 20:05:17,2019,1,20,20,05,17,Hip Hop/Rap,Driving,Car,50,Spotify
1/24/2019 18:37:32,2019,1,24,18,37,32,Hip Hop/Rap,Homework,Living Room,30,Spotify
1/17/2019 14:57:52,2019,1,17,14,57,52,Rock,Driving,Car,20,Spotify
1/17/2019 14:58:19,2019,1,17,14,58,19,Classical,Driving,Car,20,Radio
1/18/2019 14:59:16,2019,1,18,14,59,16,Classical,Driving,Car,10,Radio
1/19/2019 15:00:03,2019,1,19,15,00,03,Hip Hop/Rap,Homework,Living Room,30,Spotify
1/19/2019 14:59:51,2019,1,19,14,59,51,Electronic,Driving,Car,10,Spotify
1/21/2019 15:00:37,2019,1,21,15,00,37,Electronic,Homework,Bedroom,15,Spotify
1/21/2019 15:00:59,2019,1,21,15,00,59,Hip Hop/Rap,Homework,Living Room,30,Spotify
1/21/2019 15:02:01,2019,1,21,15,02,01,Electronic,Driving,Car,20,Spotify
1/22/2019 15:02:01,2019,1,22,15,02,01,Hip Hop/Rap,Driving,Car,35,Spotify
1/22/2019 15:02:01,2019,1,22,15,02,01,Rock,Driving,Car,10,Spotify
1/23/2019 15:02:13,2019,1,23,15,02,13,Hip Hop/Rap,Driving,Car,40,Spotify
1/23/2019 15:02:13,2019,1,23,15,02,13,Country,Driving,Car,25,Spotify
1/24/2019 15:02:35,2019,1,24,15,02,35,Hip Hop/Rap,Cleaning,Living Room,30,Spotify
