STATION_NAME,DATE,PRCP,SNWD,SNOW,ACMH,ACSH,PSUN,TSUN,TAVG,TMAX,TMIN,AWND,WSFG,WT09,WT14,WT07,WT01,WT15,WT17,WT06,WT21,WT05,WT02,WT11,WT22,WT04,WT13,WT16,WT08,WT18,WT03,WT10,WT19,weekday,month,day,year,week,season
LANSING CAPITAL CITY AIRPORT MI US,1970-01-01,0.1,1.0,2.4,100,100,5,30,NA,29,12,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Thurs,Jan,1,1970.0,1.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-02,0.08,3.0,1.3,100,100,0,0,NA,26,17,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Fri,Jan,2,1970.0,1.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-03,0.02,4.0,0.4,90,90,34,186,NA,25,11,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Sat,Jan,3,1970.0,1.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-04,0.01,4.0,0.4,70,60,42,228,NA,21,8,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Sun,Jan,4,1970.0,1.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-05,0.0,4.0,0.0,30,60,62,342,NA,22,0,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Mon,Jan,5,1970.0,1.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-06,0.0,4.0,0.2,80,80,52,288,NA,18,-2,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Tues,Jan,6,1970.0,1.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-07,0.03,4.0,0.7,90,60,35,192,NA,13,3,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Wed,Jan,7,1970.0,1.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-08,0.02,4.0,0.5,90,80,56,312,NA,15,-1,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Thurs,Jan,8,1970.0,2.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-09,0.01,4.0,0.2,60,70,59,330,NA,21,-2,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Fri,Jan,9,1970.0,2.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-10,0.01,4.0,0.5,90,100,33,186,NA,23,9,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Sat,Jan,10,1970.0,2.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-11,0.13,5.0,2.0,100,100,0,0,NA,20,9,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Sun,Jan,11,1970.0,2.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-12,0.0,7.0,0.0,50,50,45,252,NA,28,15,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Mon,Jan,12,1970.0,2.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-13,0.02,6.0,0.3,60,100,68,378,NA,22,5,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Tues,Jan,13,1970.0,2.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-14,0.0,6.0,0.0,70,70,75,420,NA,17,-2,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Wed,Jan,14,1970.0,2.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-15,0.0,6.0,0.0,80,90,47,264,NA,27,5,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Thurs,Jan,15,1970.0,3.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-16,0.0,6.0,0.0,90,100,19,108,NA,38,21,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Fri,Jan,16,1970.0,3.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-17,0.3,5.0,3.6,100,100,0,0,NA,30,16,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Sat,Jan,17,1970.0,3.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-18,0.0,8.0,0.0,40,10,100,570,NA,17,-14,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sun,Jan,18,1970.0,3.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-19,0.0,8.0,0.0,80,60,81,462,NA,14,1,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Mon,Jan,19,1970.0,3.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-20,0.0,7.0,0.1,80,90,71,408,NA,9,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Tues,Jan,20,1970.0,3.0,winter
LANSING CAPITAL CITY AIRPORT MI US,1970-01-21,0.0,7.0,0.0,20,20,76,438,NA,13,-10,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Wed,Jan,21,1970.0,3.0,winter
