iid,round,position,order,pid,match,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es
21,16,5,6,40,No,No,6.0,8.0,7.0,9.0,5.0,7.0,9.0,1.0,Yes,0.0
21,16,5,7,41,No,No,5.0,8.0,7.0,5.0,9.0,5.0,7.0,2.0,No,0.0
21,16,5,8,42,No,Yes,8.0,9.0,8.0,8.0,7.0,6.0,9.0,3.0,NA,0.0
21,16,5,11,43,No,No,5.0,8.0,8.0,4.0,9.0,3.0,6.0,1.0,No,0.0
21,16,5,15,44,No,No,7.0,7.0,8.0,5.0,7.0,2.0,6.0,1.0,No,0.0
21,16,5,2,45,No,No,6.0,8.0,8.0,6.0,8.0,4.0,5.0,2.0,No,0.0
21,16,5,5,46,No,No,6.0,8.0,8.0,6.0,8.0,5.0,8.0,2.0,No,0.0
21,16,5,12,47,No,No,4.0,7.0,7.0,4.0,7.0,3.0,5.0,1.0,No,0.0
21,16,5,16,48,No,No,7.0,7.0,7.0,5.0,6.0,3.0,6.0,1.0,No,0.0
21,16,5,3,49,No,Yes,9.0,9.0,10.0,9.0,9.0,8.0,9.0,5.0,No,0.0
21,16,5,4,50,No,No,5.0,7.0,7.0,7.0,7.0,6.0,6.0,1.0,No,0.0
21,16,5,13,51,No,No,7.0,4.0,6.0,4.0,4.0,2.0,2.0,1.0,No,0.0
21,16,5,14,52,No,No,5.0,8.0,8.0,5.0,8.0,2.0,6.0,1.0,No,0.0
21,16,5,9,53,No,No,6.0,8.0,7.0,7.0,7.0,2.0,6.0,1.0,No,0.0
21,16,5,10,54,No,No,6.0,8.0,7.0,6.0,8.0,2.0,6.0,1.0,No,0.0
21,16,5,1,55,No,No,5.0,9.0,9.0,8.0,9.0,5.0,8.0,3.0,No,0.0
22,16,7,8,40,No,No,5.0,7.0,7.0,6.0,7.0,5.0,6.0,4.0,No,2.0
22,16,7,9,41,No,No,4.0,7.0,6.0,6.0,7.0,2.0,3.0,3.0,No,2.0
22,16,7,10,42,No,No,5.0,6.0,6.0,5.0,6.0,3.0,3.0,2.0,No,2.0
22,16,7,13,43,No,No,5.0,7.0,7.0,5.0,7.0,3.0,4.0,3.0,No,2.0
22,16,7,1,44,Yes,Yes,6.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,No,2.0
22,16,7,4,45,Yes,Yes,6.0,7.0,7.0,4.0,6.0,6.0,6.0,6.0,No,2.0
22,16,7,7,46,No,Yes,8.0,7.0,7.0,7.0,6.0,7.0,7.0,4.0,No,2.0
22,16,7,14,47,No,No,5.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,No,2.0
22,16,7,2,48,No,Yes,7.0,7.0,7.0,7.0,7.0,6.0,7.0,4.0,No,2.0
22,16,7,5,49,No,No,6.0,7.0,7.0,5.0,7.0,4.0,5.0,3.0,No,2.0
22,16,7,6,50,No,Yes,5.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,No,2.0
22,16,7,15,51,No,No,3.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,No,2.0
22,16,7,16,52,No,No,3.0,6.0,7.0,5.0,5.0,4.0,2.0,2.0,No,2.0
22,16,7,11,53,No,Yes,7.0,7.0,8.0,6.0,7.0,8.0,8.0,5.0,No,2.0
22,16,7,12,54,No,No,4.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,No,2.0
22,16,7,3,55,No,Yes,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,No,2.0
23,16,3,5,40,No,Yes,5.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0,No,3.0
23,16,3,6,41,No,No,5.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,No,3.0
23,16,3,7,42,No,Yes,6.0,6.0,7.0,6.0,6.0,6.0,6.5,5.0,No,3.0
23,16,3,10,43,Yes,Yes,5.0,7.0,8.0,6.0,6.0,7.0,7.0,6.0,No,3.0
23,16,3,14,44,Yes,Yes,7.0,7.0,7.0,6.0,6.0,9.0,9.0,10.0,Yes,3.0
23,16,3,1,45,Yes,Yes,6.0,7.0,7.0,6.0,7.0,5.0,7.0,5.0,No,3.0
23,16,3,4,46,No,Yes,7.0,6.0,7.0,7.0,7.0,6.0,7.0,5.0,No,3.0
23,16,3,11,47,No,No,5.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,No,3.0
23,16,3,15,48,No,No,6.0,6.0,6.0,8.0,6.0,5.0,6.0,5.0,No,3.0
23,16,3,2,49,No,Yes,7.0,7.0,6.0,7.0,6.0,7.0,8.0,6.0,No,3.0
23,16,3,3,50,No,Yes,6.0,6.0,7.0,8.0,8.0,7.0,7.0,5.0,No,3.0
23,16,3,12,51,No,No,7.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,No,3.0
23,16,3,13,52,No,No,6.0,6.0,5.0,7.0,5.0,6.0,6.0,5.0,No,3.0
23,16,3,8,53,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0
23,16,3,9,54,No,No,6.0,7.0,6.0,6.0,5.0,5.0,6.0,4.0,No,3.0
23,16,3,16,55,No,No,6.0,8.0,7.0,6.0,7.0,5.0,6.0,5.0,No,3.0
24,16,10,11,40,No,No,5.0,6.0,7.0,7.0,7.0,NA,6.0,3.0,No,1.0
24,16,10,12,41,No,No,7.0,8.0,NA,NA,8.0,NA,8.0,4.0,No,1.0
24,16,10,13,42,No,No,6.0,8.0,NA,7.0,NA,NA,7.0,5.0,No,1.0
24,16,10,16,43,No,No,7.0,8.0,8.0,8.0,NA,NA,7.0,5.0,No,1.0
24,16,10,4,44,No,No,5.0,8.0,8.0,NA,8.0,6.0,7.0,7.0,No,1.0
24,16,10,7,45,No,No,7.0,7.0,8.0,NA,8.0,NA,8.0,6.0,No,1.0
24,16,10,10,46,No,Yes,9.0,8.0,7.0,8.0,NA,8.0,8.0,7.0,No,1.0
24,16,10,1,47,No,No,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,No,1.0
24,16,10,5,48,No,No,7.0,7.0,7.0,8.0,7.0,NA,7.0,6.0,No,1.0
24,16,10,8,49,No,No,6.0,NA,NA,8.0,NA,6.0,6.0,5.0,No,1.0
24,16,10,9,50,No,No,6.0,8.0,NA,8.0,NA,NA,7.0,7.0,No,1.0
24,16,10,2,51,No,No,6.0,6.0,8.0,7.0,8.0,NA,7.0,7.0,No,1.0
24,16,10,3,52,No,No,4.0,NA,NA,6.0,8.0,7.0,7.0,6.0,No,1.0
24,16,10,14,53,No,Yes,8.0,NA,NA,7.0,8.0,8.0,8.0,7.0,No,1.0
24,16,10,15,54,No,No,6.0,8.0,NA,8.0,8.0,8.0,7.0,6.0,No,1.0
24,16,10,6,55,No,No,8.0,7.0,7.0,NA,NA,2.0,6.0,4.0,No,1.0
25,16,12,13,40,No,No,7.0,8.0,9.0,6.0,8.0,5.0,6.0,4.0,No,0.0
25,16,12,14,41,No,No,5.0,8.0,8.0,6.0,8.0,5.0,7.0,3.0,No,0.0
25,16,12,15,42,No,No,6.0,7.0,8.0,7.0,9.0,7.0,7.0,5.0,No,0.0
25,16,12,2,43,No,No,4.0,5.0,10.0,4.0,10.0,4.0,4.0,5.0,No,0.0
25,16,12,6,44,No,No,6.0,7.0,9.0,7.0,9.0,3.0,5.0,4.0,No,0.0
25,16,12,9,45,No,No,6.0,8.0,7.0,5.0,8.0,7.0,7.0,5.0,No,0.0
25,16,12,12,46,No,No,7.0,8.0,8.0,6.0,10.0,6.0,8.0,7.0,No,0.0
25,16,12,3,47,No,No,3.0,8.0,9.0,8.0,10.0,5.0,8.0,4.0,No,0.0
25,16,12,7,48,No,No,7.0,8.0,8.0,8.0,6.0,6.0,7.0,6.0,No,0.0
25,16,12,10,49,No,No,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,No,0.0
25,16,12,11,50,No,No,9.0,8.0,9.0,8.0,10.0,7.0,8.0,7.0,No,0.0
25,16,12,4,51,No,No,6.0,5.0,8.0,7.0,10.0,8.0,6.0,7.0,No,0.0
25,16,12,5,52,No,No,5.0,4.0,7.0,5.0,9.0,7.0,5.0,4.0,No,0.0
25,16,12,16,53,No,No,7.0,8.0,9.0,7.0,8.0,5.0,7.0,7.0,No,0.0
25,16,12,1,54,No,No,5.0,8.0,8.0,6.0,9.0,6.0,6.0,7.0,No,0.0
25,16,12,8,55,No,No,7.0,7.0,7.0,8.0,8.0,6.0,7.0,5.0,No,0.0
26,16,13,14,40,No,No,2.0,5.0,5.0,3.0,5.0,2.0,2.0,2.0,No,0.0
26,16,13,15,41,No,No,2.0,5.0,5.0,3.0,5.0,2.0,2.0,2.0,No,0.0
26,16,13,16,42,No,No,2.0,5.0,5.0,3.0,7.0,3.0,3.0,2.0,No,0.0
26,16,13,3,43,No,No,2.0,6.0,7.0,1.0,7.0,2.0,2.0,3.0,No,0.0
26,16,13,7,44,No,No,3.0,8.0,7.0,6.0,6.0,4.0,5.0,4.0,No,0.0
26,16,13,10,45,No,No,4.0,7.0,6.0,1.0,4.0,3.0,2.0,2.0,No,0.0
26,16,13,13,46,No,No,7.0,4.0,5.0,6.0,5.0,4.0,6.0,5.0,No,0.0
26,16,13,4,47,No,No,3.0,7.0,6.0,4.0,6.0,2.0,2.0,2.0,No,0.0
26,16,13,8,48,No,No,6.0,5.0,5.0,7.0,6.0,3.0,4.0,4.0,No,0.0
26,16,13,11,49,No,No,5.0,8.0,8.0,7.0,7.0,6.0,5.0,5.0,No,0.0
26,16,13,12,50,No,No,7.0,6.0,6.0,7.0,6.0,6.0,8.0,5.0,No,0.0
26,16,13,5,51,No,No,6.0,7.0,6.0,5.0,6.0,6.0,6.0,4.0,No,0.0
26,16,13,6,52,No,No,2.0,7.0,6.0,4.0,4.0,4.0,5.0,4.0,No,0.0
26,16,13,1,53,No,No,6.0,8.0,8.0,6.0,7.0,5.0,6.0,6.0,No,0.0
26,16,13,2,54,No,No,2.0,8.0,7.0,2.0,7.0,2.0,3.0,3.0,No,0.0
26,16,13,9,55,No,No,6.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,No,0.0
27,16,4,5,40,No,No,2.0,6.0,6.0,6.0,6.0,NA,3.0,3.0,No,1.0
27,16,4,6,41,No,No,1.0,6.0,4.0,2.0,1.0,NA,2.0,1.0,No,1.0
27,16,4,7,42,No,No,1.0,4.0,6.0,2.0,6.0,1.0,2.0,2.0,No,1.0
27,16,4,10,43,No,No,1.0,6.0,7.0,6.0,4.0,3.0,2.0,3.0,Yes,1.0
27,16,4,14,44,No,No,1.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,No,1.0
27,16,4,1,45,No,No,3.0,6.0,6.0,4.0,5.0,1.0,1.0,2.0,No,1.0
27,16,4,4,46,Yes,Yes,8.0,7.0,6.0,6.0,4.0,4.0,6.0,5.0,No,1.0
27,16,4,11,47,No,No,1.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,No,1.0
27,16,4,15,48,No,No,4.0,6.0,4.0,5.0,6.0,7.0,3.0,1.0,No,1.0
27,16,4,2,49,No,No,4.0,5.0,4.0,5.0,6.0,NA,2.0,3.0,No,1.0
27,16,4,3,50,Yes,Yes,6.0,5.0,6.0,7.0,8.0,4.0,4.0,4.0,No,1.0
27,16,4,12,51,No,No,1.0,2.0,6.0,1.0,6.0,2.0,2.0,3.0,No,1.0
27,16,4,13,52,No,No,1.0,3.0,7.0,1.0,4.0,2.0,1.0,3.0,No,1.0
27,16,4,8,53,No,No,6.0,4.0,8.0,3.0,8.0,2.0,3.0,3.0,No,1.0
27,16,4,9,54,No,No,2.0,4.0,7.0,3.0,6.0,2.0,1.0,2.0,No,1.0
27,16,4,16,55,No,No,5.0,6.0,6.0,4.0,3.0,4.0,4.0,1.0,No,1.0
28,16,1,3,40,No,No,3.0,6.0,6.0,6.0,5.0,2.0,2.0,4.0,No,3.0
28,16,1,4,41,No,No,2.0,6.0,5.0,4.0,5.0,2.0,2.0,2.0,No,3.0
28,16,1,5,42,No,No,3.0,5.0,8.0,5.0,8.0,3.0,3.0,3.0,No,3.0
28,16,1,8,43,No,No,4.0,6.0,5.0,4.0,4.0,3.0,3.0,4.5,No,3.0
28,16,1,12,44,No,No,4.0,6.0,7.0,4.0,5.0,2.0,2.0,4.0,No,3.0
28,16,1,15,45,No,No,4.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,No,3.0
