AnimalName,BreedName,ZipCode,RowNumber,AnimalGender,AnimalBirthMonth,Borough,CommunityDistrict,CensusTract2010,NTA,CityCouncilDistrict,CongressionalDistrict,StateSenatorialDistrict,LicenseIssuedDate,LicenseExpiredDate
CHARLIE,Yorkshire Terrier,10305,45984,M,08/01/2014 12:00:00 AM,Staten Island,501,6,SI37,49,11,23,01/06/2016,01/20/2017
THAXTER,Unknown,10016,2807,M,01/01/2013 12:00:00 AM,Manhattan,106,8601,MN19,4,12,27,01/13/2015,01/13/2016
SNOOPY,Beagle,10306,4809,M,01/01/2004 12:00:00 AM,Staten Island,503,138,SI25,50,11,24,02/02/2015,02/28/2016
MIMI,Akita,11420,50779,F,01/01/2007 12:00:00 AM,Queens,410,100,QN55,28,5,10,02/02/2016,02/02/2017
MICKEY,Bichon Frise,10462,50731,M,01/01/2009 12:00:00 AM,Bronx,211,248,BX49,13,14,34,02/02/2016,12/29/2016
SIRI,Cocker Spaniel,10014,5274,F,10/01/2014 12:00:00 AM,Manhattan,102,75,MN23,3,10,27,02/07/2015,02/07/2016
PRECIOUS,Yorkshire Terrier,11233,51698,F,11/01/2007 12:00:00 AM,Brooklyn,303,379,BK35,41,8,25,02/07/2016,04/09/2017
UNKNOWN,Beagle Crossbreed,11226,5582,F,05/01/2014 12:00:00 AM,Brooklyn,314,520,BK42,40,9,21,02/11/2015,02/11/2016
NINO,Labrador Retriever,11369,54002,M,01/01/2001 12:00:00 AM,Queens,403,329,QN28,22,14,13,02/19/2016,03/30/2017
JAMIE,Yorkshire Terrier,10309,53960,F,07/01/2009 12:00:00 AM,Staten Island,503,20803,SI32,51,11,24,02/19/2016,02/01/2017
ISABELLA,German Shepherd Dog,10065,6988,F,01/01/2004 12:00:00 AM,Manhattan,108,118,MN31,4,12,28,02/24/2015,03/29/2016
BUDDY,Unknown,11358,56166,M,01/01/2005 12:00:00 AM,Queens,411,1417,QN48,20,6,11,03/01/2016,01/30/2017
JOJO,American Pit Bull Terrier/Pit Bull,11224,57001,M,11/01/2012 12:00:00 AM,Brooklyn,313,328,BK21,47,8,23,03/05/2016,04/13/2017
HENRY,Cocker Spaniel,11222,57817,M,08/01/2004 12:00:00 AM,Brooklyn,301,561,BK76,33,12,26,03/09/2016,04/15/2017
KIRIN,Shiba Inu,10001,8845,F,01/01/2001 12:00:00 AM,Manhattan,104,99,MN13,3,10,27,03/12/2015,03/30/2016
PINKY,Maltese Crossbreed,11377,9278,F,01/01/2007 12:00:00 AM,Queens,401,163,QN70,26,14,13,03/17/2015,01/20/2016
FROSTY,Pomeranian,10456,59896,M,12/01/2014 12:00:00 AM,Bronx,203,145,BX01,16,15,32,03/18/2016,04/13/2021
SIMBA,Cocker Spaniel,11373,10640,M,05/01/2013 12:00:00 AM,Queens,404,467,QN29,25,14,13,03/28/2015,03/28/2016
PRINCE,Shih Tzu,11228,61908,M,01/01/2006 12:00:00 AM,Brooklyn,310,204,BK30,43,11,22,03/29/2016,04/28/2017
HOUDINI,Unknown,10011,67870,F,08/01/2006 12:00:00 AM,Manhattan,104,81,MN13,3,12,27,04/25/2016,03/29/2017
LITTLE,Unknown,11373,14913,F,10/01/2009 12:00:00 AM,Queens,404,683,QN29,25,6,13,04/27/2015,07/15/2016
PENNY,German Shepherd Crossbreed,11208,68702,F,08/01/2009 12:00:00 AM,BROOKLYN,305,118202,BK83,37,7,18,04/27/2016,05/25/2017
CHULA,Maltese,11104,69896,F,11/01/2007 12:00:00 AM,Queens,402,183,QN31,26,14,12,05/02/2016,05/30/2017
FRANKIE,Beagle Crossbreed,11109,70510,M,02/01/2007 12:00:00 AM,Queens,402,1,QN31,26,12,12,05/05/2016,05/27/2017
COCO,Maltese,11364,16719,M,11/01/2013 12:00:00 AM,Queens,411,1377,QN42,23,6,16,05/11/2015,05/11/2016
COCO,Maltese,11364,71704,M,11/01/2013 12:00:00 AM,Queens,411,1377,QN42,23,6,16,05/11/2016,05/11/2017
PENNY,"Bull Dog, English",10011,73010,F,03/01/2010 12:00:00 AM,Manhattan,105,54,MN13,3,12,27,05/14/2016,07/07/2017
CHARLIE,"Poodle, Miniature",10128,73127,M,12/01/2010 12:00:00 AM,Manhattan,108,14402,MN32,5,12,28,05/14/2016,07/09/2018
MCGREGOR,West Highland White Terrier,10016,17965,M,12/01/2014 12:00:00 AM,Manhattan,105,74,MN17,4,12,28,05/19/2015,05/19/2016
LITTLE,Unknown,11373,75407,F,10/01/2009 12:00:00 AM,Queens,404,683,QN29,25,6,13,05/24/2016,07/15/2019
KIKI,Cairn Terrier,10011,76783,F,01/01/2006 12:00:00 AM,Manhattan,102,63,MN23,1,10,27,06/01/2016,07/30/2021
ASHLEY,Shetland Sheepdog,11426,19942,F,03/01/2007 12:00:00 AM,Queens,413,155102,QN44,23,3,11,06/05/2015,06/29/2016
PENNY,"Bull Dog, English",10011,20362,F,03/01/2010 12:00:00 AM,Manhattan,105,54,MN13,3,12,27,06/08/2015,07/07/2016
CODY,Unknown,10065,78642,M,07/01/2009 12:00:00 AM,Manhattan,108,10602,MN31,5,12,28,06/09/2016,07/27/2017
HUNTER,Shiba Inu,11415,21852,M,12/01/2014 12:00:00 AM,Queens,409,136,QN60,29,6,15,06/19/2015,06/19/2016
STELLA,Labradoodle,11101,22318,F,04/01/2013 12:00:00 AM,Queens,402,7,QN31,26,12,12,06/23/2015,07/30/2017
ISABELLA,German Shepherd Dog,10065,84040,F,01/01/2004 12:00:00 AM,Manhattan,108,118,MN31,4,12,28,06/29/2016,03/29/2017
COCO,Maltese,11364,86661,F,04/01/2015 12:00:00 AM,Queens,411,145102,QN46,20,6,11,07/12/2016,07/18/2017
CLASSY,Beagle,10469,88584,F,08/01/2011 12:00:00 AM,Bronx,211,316,BX31,13,14,34,07/17/2016,09/02/2017
SAM,Unknown,10024,28682,M,01/01/2004 12:00:00 AM,Manhattan,107,175,MN12,6,10,31,08/11/2015,08/30/2016
JINX,Yorkshire Terrier,10025,94893,F,10/01/2014 12:00:00 AM,Manhattan,107,195,MN09,7,10,31,08/11/2016,09/09/2017
CLASSY,Beagle,10469,29046,F,08/01/2011 12:00:00 AM,Bronx,211,316,BX31,13,14,34,08/13/2015,09/02/2016
JEFFREY,"Schnauzer, Miniature",10029,95563,M,01/01/2007 12:00:00 AM,Manhattan,111,15802,MN33,5,12,29,08/14/2016,07/30/2021
NOEL,Maltese,11105,95910,M,12/01/2003 12:00:00 AM,Queens,401,113,QN72,22,14,13,08/16/2016,09/16/2017
WHITEY,German Shepherd Dog,11211,96406,M,01/01/2003 12:00:00 AM,Brooklyn,301,523,BK73,34,7,18,08/18/2016,09/29/2017
SANDI,American Pit Bull Terrier/Pit Bull,10035,96749,F,12/01/2012 12:00:00 AM,Manhattan,111,192,MN34,8,13,30,08/19/2016,08/19/2017
JOHNNY,German Shepherd Crossbreed,11106,30638,M,08/01/2003 12:00:00 AM,Queens,401,45,QN70,26,12,12,08/25/2015,08/25/2016
LEXI,Shih Tzu,11236,99471,F,05/01/2011 12:00:00 AM,Brooklyn,318,996,BK50,46,8,19,09/02/2016,08/23/2017
UNKNOWN,Yorkshire Terrier,10033,102513,F,05/01/2016 12:00:00 AM,Manhattan,112,261,MN36,10,13,31,09/16/2016,09/16/2017
SANDI,American Pit Bull Terrier/Pit Bull,10035,33677,F,12/01/2012 12:00:00 AM,Manhattan,111,192,MN34,8,13,30,09/21/2015,09/21/2016
SAPPHIRE,Unknown,10460,33917,F,01/01/2003 12:00:00 AM,Bronx,209,218,BX08,18,15,32,09/23/2015,07/30/2016
PIP,"Poodle, Miniature",10033,105086,M,07/01/2008 12:00:00 AM,Manhattan,112,273,MN35,10,13,31,09/27/2016,10/21/2017
JACO,Dachshund Crossbreed,11218,106652,M,04/01/2015 12:00:00 AM,Brooklyn,312,488,BK41,39,10,21,10/03/2016,10/24/2017
PIP,"Poodle, Miniature",10033,35128,M,07/01/2008 12:00:00 AM,Manhattan,112,273,MN35,10,13,31,10/05/2015,10/21/2016
K.C.,German Shepherd Crossbreed,11215,107168,F,01/01/2003 12:00:00 AM,Brooklyn,306,157,BK37,39,9,20,10/06/2016,11/29/2017
NIKKI,"Poodle, Toy",11426,108261,F,01/01/2000 12:00:00 AM,QUEENS,413,157101,QN43,23,3,11,10/13/2016,11/30/2017
LUCY,American Pit Bull Mix / Pit Bull Mix,11419,35937,F,10/01/2008 12:00:00 AM,Queens,409,156,QN54,28,5,10,10/14/2015,09/11/2016
JACO,Dachshund Crossbreed,11218,37436,M,04/01/2015 12:00:00 AM,Brooklyn,312,488,BK41,39,10,21,10/24/2015,10/24/2016
NAME NOT PROVIDED,Poodle,10024,110932,F,06/01/2016 12:00:00 AM,Manhattan,107,175,MN12,6,10,31,10/25/2016,10/25/2017
DAISY,Unknown,11209,37632,F,02/01/2012 12:00:00 AM,Brooklyn,310,136,BK31,43,11,22,10/26/2015,11/06/2016
WHITEY,German Shepherd Dog,11211,37800,M,01/01/2003 12:00:00 AM,Brooklyn,301,523,BK73,34,7,18,10/28/2015,09/29/2016
LADY,Maltese Crossbreed,11368,111580,F,07/01/2006 12:00:00 AM,Queens,403,399,QN25,21,14,13,10/28/2016,11/29/2017
NIKKI,"Poodle, Toy",11426,39023,F,01/01/2000 12:00:00 AM,QUEENS,413,157101,QN43,23,3,11,11/09/2015,11/30/2016
PLAXI,Dachshund Smooth Coat,10001,41373,F,08/01/2010 12:00:00 AM,Manhattan,104,97,MN13,3,10,27,11/30/2015,01/06/2021
MAXILLIAN,Golden Retriever,11004,41480,M,10/01/2003 12:00:00 AM,Queens,413,155102,QN44,23,3,11,12/01/2015,12/30/2016
DORA,"Poodle, Miniature",11355,118349,F,11/01/2013 12:00:00 AM,Queens,407,1187,QN52,20,6,16,12/07/2016,01/16/2018
TOBY,Chihuahua,10029,118998,M,10/01/2012 12:00:00 AM,Manhattan,111,170,MN33,8,13,29,12/10/2016,12/10/2018
TEDDY,Maltese,10306,119808,M,04/01/2012 12:00:00 AM,Staten Island,503,13204,SI25,51,11,24,12/15/2016,01/21/2018
BABY,American Pit Bull Mix / Pit Bull Mix,10039,120136,M,08/01/2014 12:00:00 AM,Manhattan,110,236,MN03,9,13,30,12/17/2016,12/17/2017
BELLA,Yorkshire Terrier Crossbreed,11434,44054,F,07/01/2015 12:00:00 AM,Queens,412,33402,QN02,28,5,10,12/21/2015,12/21/2016
SAMWISE,Norwich Terrier,10014,122160,M,08/01/2015 12:00:00 AM,Manhattan,102,69,MN23,3,10,27,12/31/2016,02/09/2018
