DATE,variable,value
1971-10-28,PRCP,0.0
1971-10-28,TMAX,69.0
1971-10-28,TMIN,44.0
1976-02-13,PRCP,0.0
1976-02-13,TMAX,42.0
1976-02-13,TMIN,20.0
1976-05-09,PRCP,0.0
1976-05-09,TMAX,72.0
1976-05-09,TMIN,46.0
1978-03-01,PRCP,0.0
1978-03-01,TMAX,22.0
1978-03-01,TMIN,-2.0
1986-08-12,PRCP,0.0
1986-08-12,TMAX,76.0
1986-08-12,TMIN,45.0
1990-05-31,PRCP,0.0
1990-05-31,TMAX,75.0
1990-05-31,TMIN,38.0
1991-06-04,PRCP,0.0
1991-06-04,TMAX,68.0
1991-06-04,TMIN,45.0
1992-01-06,PRCP,0.01
1992-01-06,TMAX,35.0
1992-01-06,TMIN,31.0
1993-02-28,PRCP,0.0
1993-02-28,TMAX,33.0
1993-02-28,TMIN,-1.0
1994-11-03,PRCP,0.02
1994-11-03,TMAX,62.0
1994-11-03,TMIN,44.0
1995-04-14,PRCP,0.0
1995-04-14,TMAX,56.0
1995-04-14,TMIN,30.0
1997-08-12,PRCP,0.49
1997-08-12,TMAX,69.0
1997-08-12,TMIN,57.0
1997-12-10,PRCP,0.34
1997-12-10,TMAX,33.0
1997-12-10,TMIN,30.0
2008-04-19,PRCP,0.0
2008-04-19,TMAX,74.0
2008-04-19,TMIN,49.0
2010-08-28,PRCP,0.0
2010-08-28,TMAX,86.0
2010-08-28,TMIN,59.0
2010-11-08,PRCP,0.0
2010-11-08,TMAX,62.0
2010-11-08,TMIN,29.0
2014-01-22,PRCP,0.05
2014-01-22,TMAX,11.0
2014-01-22,TMIN,-3.0
2015-02-18,PRCP,0.0
2015-02-18,TMAX,13.0
2015-02-18,TMIN,-2.0
2015-05-27,PRCP,0.01
2015-05-27,TMAX,77.0
2015-05-27,TMIN,57.0
2015-12-05,PRCP,0.0
2015-12-05,TMAX,44.0
2015-12-05,TMIN,28.0
